"corpus","preloaded/frtenten17_fl2"
"subcorpus",""
"lempos","Freq"
"article",8144420
"deux",7788074
"projet",7002220
"liste",6826273
"an",6092576
"année",5618891
"travail",5606157
"france",5220068
"page",5097786
"jour",4949443
"temps",4849064
"l",4780209
"site",4372407
"tâche",4232296
"monde",4177853
"fois",3956710
"vie",3874295
"exemple",3834015
"personne",3672832
"partie",3639817
"conseil",3572262
"service",3546845
"homme",3460493
"cas",3441551
"aide",3433172
"place",3433041
"forme",3393089
"pays",3244897
"enfant",3156899
"point",3152058
"ville",3098446
"groupe",3071637
"cour",3024329
"effet",2995473
"paris",2943197
"histoire",2892990
"nom",2875557
"question",2852741
"trois",2842593
"ligne",2805278
"lieu",2778147
"entreprise",2747892
"droit",2712928
"femme",2707721
"jeu",2694509
"objectif",2596032
"société",2572360
"moi",2536236
"recherche",2532699
"eau",2531740
"système",2525139
"suite",2524653
"information",2495968
"prix",2492736
"fin",2472658
"chose",2469831
"niveau",2420867
"état",2400118
"but",2364090
"part",2289889
"activité",2252475
"produit",2239029
"nombre",2230573
"rapport",2162073
"maison",2158497
"famille",2144060
"moment",2103210
"titre",2101121
"loi",2099242
"compte",2095076
"équipe",2054710
"centre",2049937
"formation",2043474
"étude",2032315
"contenu",2031306
"heure",2028222
"problème",2026373
"film",2023238
"qualité",2016424
"siècle",2014048
"fait",1967591
"action",1963647
"besoin",1930963
"développement",1898242
"livre",1890109
"région",1884130
"membre",1862674
"connaissance",1833715
"base",1813779
"guerre",1803358
"janvier",1800984
"cadre",1795149
"mesure",1792049
"grâce",1772785
"sujet",1756065
"auteur",1754979
"côté",1754563
"fonction",1747870
"président",1739265
"type",1738045
"ensemble",1732020
"image",1728940
"juin",1717462
"association",1712576
"raison",1712471
"début",1707675
"wikipédia",1704093
"mars",1701687
"réseau",1694734
"mise",1694098
"programme",1679762
"école",1674957
"décembre",1667715
"plan",1661657
"terme",1658526
"mai",1658433
"texte",1650248
"septembre",1648250
"octobre",1610455
"photo",1604981
"lien",1603637
"source",1601243
"euro",1600983
"idée",1595682
"parce",1593883
"mot",1589513
"tour",1586911
"novembre",1582437
"face",1581258
"condition",1573603
"terre",1566691
"semaine",1554193
"objet",1553569
"marché",1553016
"situation",1546030
"population",1544851
"m.",1537166
"juillet",1534180
