word list generated with Sketch Engine
language:	German
corpus:	German Web 2013
	adjective	frequence
1	gut	206072
2	neu	198814
3	groß	151168
4	erst	105363
5	weit	102091
6	klein	83306
7	eigen	80595
8	hoch	76932
9	wichtig	73671
10	deutsch	73348
11	verschieden	59091
12	alt	56309
13	möglich	55258
14	schnell	52821
15	lang	52160
16	schön	49430
17	nah	47681
18	richtig	45935
19	aktuell	45632
20	gemeinsam	43820
21	kurz	42793
22	direkt	42483
23	ganz	42232
24	einfach	41900
25	genau	39595
26	rund	39015
27	wirklich	38818
28	stark	38428
29	persönlich	34567
30	besonder	32849
31	frei	32844
32	jung	31902
33	leicht	31377
34	unterschiedlich	30738
35	entsprechend	30688
36	bekannt	30159
37	einzeln	29859
38	spät	29122
39	international	28780
40	zusätzlich	28447
41	folgend	28194
42	deutlich	28019
43	erfolgreich	27837
44	sicher	27723
45	klar	26567
46	sozial	26004
47	bestimmt	25536
48	zahlreich	25530
49	individuell	24548
50	öffentlich	24535
51	häufig	23634
52	schwer	23123
53	früh	23052
54	interessant	22628
55	politisch	22609
56	europäisch	22550
57	modern	22171
58	allgemein	22038
59	gesamt	22011
60	technisch	21854
61	kostenlos	21750
62	voll	21278
63	speziell	21213
64	toll	21191
65	gleich	20058
66	offen	19832
67	aktiv	19425
68	privat	18636
69	notwendig	18212
70	gleichzeitig	17856
71	regelmäßig	17631
72	–	17574
73	jeweilig	17308
74	günstig	17102
75	positiv	17086
76	echt	16981
77	schlecht	16628
78	ähnlich	16588
79	wesentlich	16474
80	täglich	16264
81	weltweit	16016
82	vorhanden	15991
83	praktisch	15801
84	tatsächlich	15728
85	komplett	15611
86	gering	15595
87	einzig	15336
88	passend	15275
89	vergangen	14396
90	zentral	14037
91	genannt	13956
92	gesetzlich	13893
93	historisch	13734
94	erforderlich	13536
95	wissenschaftlich	13522
96	völlig	13185
97	heutig	13149
98	normal	13123
99	breit	12916
100	tief	12879
101	ständig	12843
102	beliebt	12835
103	perfekt	12738
104	herzlich	12686
105	sogenannt	12655
106	gesund	12545
107	spannend	12338
108	fest	12327
109	natürlich	12292
110	grundsätzlich	12280
111	optimal	12212
112	unabhängig	12124
113	konkret	12121
114	selten	12097
115	wirtschaftlich	12076
116	klassisch	11965
117	automatisch	11939
118	frisch	11855
119	falsch	11813
120	eng	11754
121	nachhaltig	11651
122	bewusst	11642
123	intensiv	11409
124	geeignet	11386
125	absolut	11341
126	mobil	11301
127	ehemalig	11289
128	professionell	11236
129	rot	11120
130	rein	11117
131	bestehend	10988
132	knapp	10962
133	vielfältig	10881
134	sinnvoll	10810
135	umfassend	10790
136	grün	10636
137	jährlich	10586
138	finanziell	10583
139	besten	10574
140	hochwertig	10531
141	digital	10494
142	vollständig	10474
143	weiß	10446
144	umfangreich	10358
145	kommend	10313
146	schwierig	10261
147	nötig	10240
148	erneut	10219
149	anschließend	10133
150	tätig	10039
151	gewiss	9999
152	links	9967
153	zuständig	9854
154	wahr	9842
155	beruflich	9823
156	medizinisch	9690
157	ausreichend	9679
158	recht	9670
159	regional	9664
160	schwarz	9610
161	menschlich	9490
162	teuer	9464
163	ideal	9405
164	offiziell	9364
165	schriftlich	9329
166	entscheidend	9319
167	zunehmend	9273
168	langsam	9186
169	lieb	9103
170	national	9100
171	verantwortlich	8941
172	unmittelbar	8934
173	relativ	8927
174	bereit	8863
175	rechtlich	8839
176	gesellschaftlich	8770
177	attraktiv	8759
178	fertig	8754
179	kulturell	8745
180	traditionell	8704
181	innovativ	8574
182	hervorragend	8572
183	einzigartig	8500
184	erheblich	8417
185	warm	8402
186	typisch	8379
187	heilig	8297
188	super	8271
189	zukünftig	8132
190	verfügbar	8122
191	reich	8067
192	inner	8033
193	halb	8017
194	staatlich	8011
195	ursprünglich	7934
196	divers	7928
197	evangelisch	7903
198	lokal	7857
199	künftig	7836
200	ausführlich	7804
