word list generated with Sketch Engine
language:	German
corpus:	German Web 2013
	adverb	frequence
1	auch	1108670
2	so	528122
3	nur	436350
4	noch	406451
5	dann	278124
6	hier	264605
7	schon	230147
8	aber	230116
9	sehr	229878
10	immer	228844
11	wieder	207663
12	mehr	174744
13	ganz	139297
14	nun	132020
15	selbst	128010
16	heute	120776
17	bereits	117612
18	mal	117355
19	da	117216
20	also	113964
21	jetzt	113695
22	doch	91782
23	jedoch	84177
24	dort	83868
25	einmal	83783
26	natürlich	80240
27	einfach	79087
28	besonders	76427
29	erst	76205
30	gerade	68699
31	weiter	67731
32	allerdings	62948
33	oft	61062
34	etwa	59136
35	sogar	54966
36	fast	54940
37	zwar	54775
38	gerne	51576
39	viel	51317
40	wohl	50957
41	etwas	50356
42	vielleicht	50206
43	gar	48746
44	eigentlich	46195
45	je	44410
46	leider	43975
47	ebenfalls	43427
48	gleich	40754
49	bitte	40455
50	somit	38845
51	insbesondere	38064
52	eher	37157
53	kaum	35465
54	ebenso	35243
55	über	34724
56	nie	33720
57	insgesamt	33196
58	bisher	32829
59	zusammen	32645
60	sofort	32387
61	meist	32257
62	beispielsweise	31591
63	zunächst	29918
64	eben	29435
65	schließlich	29283
66	anders	28986
67	endlich	28879
68	jeweils	28184
69	lange	27405
70	allein	26641
71	hin	26629
72	überhaupt	26030
73	oben	25843
74	denn	25595
75	weiterhin	25510
76	mindestens	23907
77	zu	23627
78	derzeit	23627
79	nämlich	23519
80	dennoch	23462
81	sonst	23339
82	etc	21762
83	mittlerweile	21746
84	zumindest	21375
85	damals	21133
86	inzwischen	20372
87	manchmal	20192
88	bald	19525
89	möglichst	19331
90	lediglich	18685
91	nach	18545
92	links	18430
93	bis	18408
94	online	18251
95	selber	18171
96	durchaus	17970
97	weniger	17919
98	teilweise	17288
99	ausschließlich	17202
100	gern	17153
101	übrigens	16214
102	stets	16141
103	vorher	16029
104	innen	15562
105	gestern	15112
106	ab	14883
107	unterwegs	14769
108	ziemlich	14563
109	zuletzt	14552
110	genug	14517
111	genauso	14506
112	jederzeit	14442
113	unten	14385
114	unbedingt	14360
115	zuvor	14244
116	sicherlich	13906
117	erstmals	13815
118	usw.	13767
119	überall	13735
120	zugleich	13532
121	rechts	13347
122	zuerst	13123
123	zurück	12887
124	lieber	12833
125	mit	12516
126	irgendwie	12437
127	sicher	12372
128	miteinander	12077
129	recht	11580
130	alleine	11387
131	bislang	11203
132	jedenfalls	11073
133	hingegen	10605
134	wiederum	10594
135	morgen	10507
136	vielmehr	10406
137	längst	10345
138	meistens	10138
139	nahezu	10100
140	diesmal	9963
141	immerhin	9916
142	oftmals	9843
143	vor	9701
144	soweit	9545
145	ansonsten	9405
146	egal	9243
147	hierbei	9166
148	irgendwann	9135
149	äußerst	9088
150	andererseits	9006
151	vermutlich	9001
152	außen	8973
153	entweder	8902
154	wenig	8768
155	spätestens	8494
156	einerseits	7947
157	mitten	7670
158	vorbei	7620
159	letztlich	7594
160	halt	7571
161	desto	7515
162	nochmal	7500
163	umso	7270
164	niemals	7029
165	möglicherweise	6989
166	nochmals	6985
167	weg	6698
168	vorne	6681
169	wenigstens	6434
170	draußen	6365
171	erstmal	6217
172	abends	6188
173	später	6161
174	her	6156
175	heutzutage	6036
176	bestens	5990
177	genau	5859
178	normalerweise	5624
179	quasi	5520
180	ohnehin	5417
181	irgendwo	5396
182	einst	5359
183	morgens	5232
184	hinten	5225
185	anschließend	5204
186	sowieso	5065
187	früher	5038
188	extra	4967
189	kürzlich	4774
190	selbstverständlich	4756
191	ferner	4747
192	unter	4676
193	zuhause	4606
194	zweimal	4544
195	teils	4454
196	nunmehr	4244
197	anfangs	4235
198	außerdem	4192
199	insofern	4189
200	vorab	4186
