word list generated with Sketch Engine
language:	German
corpus:	German Web 2013
	verb	frequence
1	sein	1374735
2	werden	859362
3	haben	543862
4	können	435897
5	geben	157876
6	sollen	141964
7	müssen	137110
8	finden	110398
9	machen	110320
10	kommen	99673
11	gehen	96014
12	lassen	83636
13	stehen	78492
14	wollen	77983
15	sehen	65935
16	bieten	59801
17	stellen	57934
18	mögen	53626
19	liegen	49629
20	nehmen	48226
21	sagen	47677
22	führen	43985
23	zeigen	43449
24	erhalten	41784
25	bleiben	39547
26	dürfen	39228
27	bringen	36682
28	wissen	35666
29	gelten	34080
30	setzen	32089
31	halten	31448
32	nutzen	30359
33	tun	29908
34	bekommen	29890
35	gehören	28642
36	bestehen	27347
37	arbeiten	25779
38	schreiben	25437
39	erreichen	24153
40	suchen	23569
41	spielen	23328
42	entwickeln	23276
43	beginnen	23180
44	lesen	22568
45	helfen	22512
46	unterstützen	22396
47	sprechen	21881
48	brauchen	21680
49	schaffen	21463
50	entstehen	20858
51	kennen	20778
52	leben	20765
53	heißen	20214
54	tragen	19720
55	lernen	19521
56	freuen	19379
57	verwenden	18264
58	erfolgen	18209
59	befinden	18165
60	handeln	18122
61	verstehen	17063
62	ziehen	17055
63	denken	16923
64	legen	16808
65	erklären	16516
66	entscheiden	16422
67	sorgen	16355
68	treffen	15918
69	nennen	15748
70	ermöglichen	15562
71	folgen	15498
72	anbieten	15462
73	fallen	15295
74	erscheinen	15246
75	laufen	15240
76	fahren	15169
77	übernehmen	15140
78	versuchen	15034
79	fragen	14965
80	erkennen	14739
81	erleben	14710
82	gewinnen	14621
83	informieren	14586
84	wählen	14511
85	bedeuten	14327
86	erfahren	13840
87	kaufen	13197
88	enthalten	13147
89	einsetzen	13133
90	bilden	12906
91	verbinden	12811
92	benötigen	12626
93	dienen	12471
94	glauben	12454
95	vorstellen	12264
96	fördern	12256
97	erwarten	12181
98	empfehlen	12168
99	wirken	12122
100	scheinen	12066
101	meinen	12038
102	gestalten	11975
103	erstellen	11907
104	berichten	11900
105	besuchen	11897
106	treten	11832
107	präsentieren	11720
108	laden	11489
109	starten	11436
110	hören	11291
111	fühlen	11170
112	ändern	11159
113	wünschen	11083
114	schließen	10546
115	zählen	10458
116	darstellen	10441
117	entdecken	10426
118	verfügen	10342
119	genießen	10331
120	fordern	10266
121	veröffentlichen	10157
122	durchführen	10062
123	verlieren	10040
124	bauen	9921
125	aufnehmen	9802
126	gelingen	9684
127	beschäftigen	9682
128	funktionieren	9643
129	schauen	9630
130	leisten	9621
131	beschreiben	9541
132	ergeben	9484
133	öffnen	9469
134	reichen	9333
135	richten	9287
136	liefern	9257
137	eignen	9256
138	planen	9166
139	fehlen	9105
140	steigen	9068
141	erzählen	9007
142	schützen	8906
143	passen	8835
144	erfüllen	8795
145	vermitteln	8769
146	feiern	8736
147	bezeichnen	8656
148	besitzen	8545
149	beachten	8503
150	warten	8467
151	bestimmen	8375
152	entsprechen	8264
153	verändern	8234
154	begleiten	8200
155	rufen	8193
156	gründen	8178
157	erinnern	8045
158	bestellen	7963
159	bitten	7879
160	passieren	7692
161	verbessern	7683
162	beziehen	7683
163	umsetzen	7659
164	sitzen	7623
165	hoffen	7612
166	zahlen	7542
167	betreffen	7539
168	wachsen	7488
169	benutzen	7358
170	überzeugen	7344
171	teilen	7331
172	verkaufen	7294
173	achten	7292
174	betragen	7242
175	geschehen	7114
176	lösen	7062
177	lieben	7039
178	sichern	7031
179	bewegen	6994
180	vertreten	6983
181	behandeln	6977
182	erhöhen	6973
183	kosten	6954
184	melden	6946
185	sparen	6937
186	diskutieren	6862
187	entfernen	6826
188	verlassen	6789
189	betreiben	6779
190	anzeigen	6742
191	aufbauen	6711
192	klicken	6686
193	stattfinden	6685
194	bestätigen	6683
195	sammeln	6642
196	erlauben	6630
197	herstellen	6629
198	weisen	6623
199	schlagen	6616
200	vergessen	6613
