;language:;Italian;;;;;;;;;;;;;;;;;;;;;;;
;corpus:;Italian Web 2016;;;;;;;;;;;;;;;;;;;;;;;
;word form;frequence;;;;;;;;;;;;;;;;;;;;;;;
1;primo;167092;1;;;;;;;;;;;;;;;;;;;;;;
2;grande;154678;0,925705599;;;;;;;;;;;;;;;;;;;;;;
3;nuovo;151316;0,905584947;;;;;;;;;;;;;;;;;;;;;;
4;stesso;123150;0,737019127;;;;;;;;;;;;;;;;;;;;;;
5;diverso;79580;0,476264573;;;;;;;;;;;;;;;;;;;;;;
6;italiano;74451;0,445568908;;;;;;;;;;;;;;;;;;;;;;
7;ultimo;70311;0,420792138;;;;;;;;;;;;;;;;;;;;;;
8;tale;69876;0,418188782;;;;;;;;;;;;;;;;;;;;;;
9;possibile;66320;0,396907093;;;;;;;;;;;;;;;;;;;;;;
10;presente;63655;0,380957796;;;;;;;;;;;;;;;;;;;;;;
11;pubblico;61471;0,367887152;;;;;;;;;;;;;;;;;;;;;;
12;piccolo;58651;0,351010222;;;;;;;;;;;;;;;;;;;;;;
13;importante;53943;0,322834127;;;;;;;;;;;;;;;;;;;;;;
14;secondo;50616;0,302922941;;;;;;;;;;;;;;;;;;;;;;
15;vero;48100;0,287865368;;;;;;;;;;;;;;;;;;;;;;
16;necessario;45939;0,274932373;;;;;;;;;;;;;;;;;;;;;;
17;bello;45854;0,274423671;;;;;;;;;;;;;;;;;;;;;;
18;relativo;45690;0,273442176;;;;;;;;;;;;;;;;;;;;;;
19;alto;44966;0,269109233;;;;;;;;;;;;;;;;;;;;;;
20;nazionale;42893;0,256702894;;;;;;;;;;;;;;;;;;;;;;
21;unico;42748;0,255835109;;;;;;;;;;;;;;;;;;;;;;
22;sociale;42642;0,255200728;;;;;;;;;;;;;;;;;;;;;;
23;locale;36626;0,21919661;;;;;;;;;;;;;;;;;;;;;;
24;internazionale;36344;0,217508917;;;;;;;;;;;;;;;;;;;;;;
25;buono;36226;0,216802719;;;;;;;;;;;;;;;;;;;;;;
26;lungo;34912;0,208938788;;;;;;;;;;;;;;;;;;;;;;
27;economico;34745;0,207939339;;;;;;;;;;;;;;;;;;;;;;
28;europeo;34208;0,20472554;;;;;;;;;;;;;;;;;;;;;;
29;politico;34125;0,204228808;;;;;;;;;;;;;;;;;;;;;;
30;principale;33069;0,197908936;;;;;;;;;;;;;;;;;;;;;;
31;disponibile;32689;0,19563474;;;;;;;;;;;;;;;;;;;;;;
32;storico;31584;0,189021617;;;;;;;;;;;;;;;;;;;;;;
33;migliore;31546;0,188794197;;;;;;;;;;;;;;;;;;;;;;
34;semplice;30958;0,185275178;;;;;;;;;;;;;;;;;;;;;;
35;regionale;30607;0,183174539;;;;;;;;;;;;;;;;;;;;;;
36;previsto;29781;0,178231154;;;;;;;;;;;;;;;;;;;;;;
37;personale;29034;0,173760563;;;;;;;;;;;;;;;;;;;;;;
38;particolare;29009;0,173610945;;;;;;;;;;;;;;;;;;;;;;
39;comune;28985;0,173467311;;;;;;;;;;;;;;;;;;;;;;
40;tecnico;28353;0,169684964;;;;;;;;;;;;;;;;;;;;;;
41;seguente;28221;0,16889498;;;;;;;;;;;;;;;;;;;;;;
42;umano;28022;0,167704019;;;;;;;;;;;;;;;;;;;;;;
43;generale;27616;0,16527422;;;;;;;;;;;;;;;;;;;;;;
44;culturale;27205;0,162814497;;;;;;;;;;;;;;;;;;;;;;
45;antico;26687;0,159714409;;;;;;;;;;;;;;;;;;;;;;
46;forte;26638;0,159421157;;;;;;;;;;;;;;;;;;;;;;
47;prossimo;26636;0,159409188;;;;;;;;;;;;;;;;;;;;;;
48;specifico;25986;0,155519115;;;;;;;;;;;;;;;;;;;;;;
49;libero;24956;0,149354846;;;;;;;;;;;;;;;;;;;;;;
50;sito;24699;0,147816772;;;;;;;;;;;;;;;;;;;;;;
51;solo;24660;0,147583367;;;;;;;;;;;;;;;;;;;;;;
52;naturale;24610;0,147284131;;;;;;;;;;;;;;;;;;;;;;
53;certo;24512;0,146697628;;;;;;;;;;;;;;;;;;;;;;
