;language:;Italian;;;;;;;;;;;;;;;;;;;;;;;
;corpus:;Italian Web 2016;;;;;;;;;;;;;;;;;;;;;;;
;word form;frequence;;;;;;;;;;;;;;;;;;;;;;;
1;anno;60840;1;;;;;;;;;;;;;;;;;;;;;;
2;servizio;38234;0,62843524;;;;;;;;;;;;;;;;;;;;;;
3;parte;37453;0,615598291;;;;;;;;;;;;;;;;;;;;;;
4;numero;35959;0,591042078;;;;;;;;;;;;;;;;;;;;;;
5;tempo;32773;0,538675214;;;;;;;;;;;;;;;;;;;;;;
6;lavoro;31965;0,525394477;;;;;;;;;;;;;;;;;;;;;;
7;giorno;31308;0,514595661;;;;;;;;;;;;;;;;;;;;;;
8;articolo;27578;0,453287311;;;;;;;;;;;;;;;;;;;;;;
9;caso;27277;0,448339908;;;;;;;;;;;;;;;;;;;;;;
10;attivit?;25806;0,424161736;;;;;;;;;;;;;;;;;;;;;;
11;sito;25306;0,415943458;;;;;;;;;;;;;;;;;;;;;;
12;modo;25113;0,412771203;;;;;;;;;;;;;;;;;;;;;;
13;ora;24673;0,405539119;;;;;;;;;;;;;;;;;;;;;;
14;volta;23903;0,392882972;;;;;;;;;;;;;;;;;;;;;;
15;persona;23317;0,383251151;;;;;;;;;;;;;;;;;;;;;;
16;informazione;23267;0,382429323;;;;;;;;;;;;;;;;;;;;;;
17;sistema;22605;0,371548323;;;;;;;;;;;;;;;;;;;;;;
18;prodotto;22417;0,368458251;;;;;;;;;;;;;;;;;;;;;;
19;vita;22361;0,367537804;;;;;;;;;;;;;;;;;;;;;;
20;corso;21904;0,360026298;;;;;;;;;;;;;;;;;;;;;;
21;dato;21457;0,352679158;;;;;;;;;;;;;;;;;;;;;;
22;mondo;21248;0,349243918;;;;;;;;;;;;;;;;;;;;;;
23;progetto;21118;0,347107166;;;;;;;;;;;;;;;;;;;;;;
24;Italia;20543;0,337656147;;;;;;;;;;;;;;;;;;;;;;
25;punto;20536;0,337541091;;;;;;;;;;;;;;;;;;;;;;
26;casa;19877;0,326709402;;;;;;;;;;;;;;;;;;;;;;
27;fine;19747;0,32457265;;;;;;;;;;;;;;;;;;;;;;
28;centro;19627;0,322600263;;;;;;;;;;;;;;;;;;;;;;
29;ricerca;18528;0,304536489;;;;;;;;;;;;;;;;;;;;;;
30;citt?;16911;0,27795858;;;;;;;;;;;;;;;;;;;;;;
31;storia;16684;0,274227482;;;;;;;;;;;;;;;;;;;;;;
32;gruppo;16341;0,268589744;;;;;;;;;;;;;;;;;;;;;;
33;via;16096;0,264562788;;;;;;;;;;;;;;;;;;;;;;
34;base;16076;0,264234057;;;;;;;;;;;;;;;;;;;;;;
35;momento;15577;0,256032216;;;;;;;;;;;;;;;;;;;;;;
36;legge;15569;0,255900723;;;;;;;;;;;;;;;;;;;;;;
37;opera;15564;0,25581854;;;;;;;;;;;;;;;;;;;;;;
38;diritto;15448;0,2539119;;;;;;;;;;;;;;;;;;;;;;
39;acqua;15432;0,253648915;;;;;;;;;;;;;;;;;;;;;;
40;cosa;15348;0,252268245;;;;;;;;;;;;;;;;;;;;;;
41;piano;15279;0,251134122;;;;;;;;;;;;;;;;;;;;;;
42;scuola;14826;0,243688363;;;;;;;;;;;;;;;;;;;;;;
43;azienda;14823;0,243639053;;;;;;;;;;;;;;;;;;;;;;
44;studio;14603;0,240023011;;;;;;;;;;;;;;;;;;;;;;
45;territorio;14236;0,233990796;;;;;;;;;;;;;;;;;;;;;;
46;programma;14002;0,230144642;;;;;;;;;;;;;;;;;;;;;;
47;uomo;13977;0,229733728;;;;;;;;;;;;;;;;;;;;;;
48;forma;13943;0,229174885;;;;;;;;;;;;;;;;;;;;;;
49;tipo;13648;0,224326101;;;;;;;;;;;;;;;;;;;;;;
50;area;13370;0,219756739;;;;;;;;;;;;;;;;;;;;;;
51;comune;13292;0,218474688;;;;;;;;;;;;;;;;;;;;;;
52;livello;13262;0,217981591;;;;;;;;;;;;;;;;;;;;;;
53;struttura;13176;0,216568047;;;;;;;;;;;;;;;;;;;;;;
54;settore;13114;0,215548981;;;;;;;;;;;;;;;;;;;;;;
