;language:;Italian;;;;;;;;;;;;;;;;;;;;;;;
;corpus:;Italian Web 2016;;;;;;;;;;;;;;;;;;;;;;;
;word form;frequence;;;;;;;;;;;;;;;;;;;;;;;
1;essere;1001705;1;;;;;;;;;;;;;;;;;;;;;;
2;potere;283651;0,283168198;;;;;;;;;;;;;;;;;;;;;;
3;fare;258628;0,25818779;;;;;;;;;;;;;;;;;;;;;;
4;avere;209925;0,209567687;;;;;;;;;;;;;;;;;;;;;;
5;dovere;141344;0,141103419;;;;;;;;;;;;;;;;;;;;;;
6;dire;104811;0,104632601;;;;;;;;;;;;;;;;;;;;;;
7;volere;85329;0,085183762;;;;;;;;;;;;;;;;;;;;;;
8;trovare;80705;0,080567632;;;;;;;;;;;;;;;;;;;;;;
9;andare;77712;0,077579727;;;;;;;;;;;;;;;;;;;;;;
10;dare;74148;0,074021793;;;;;;;;;;;;;;;;;;;;;;
11;stare;64034;0,063925008;;;;;;;;;;;;;;;;;;;;;;
12;vedere;61745;0,061639904;;;;;;;;;;;;;;;;;;;;;;
13;sapere;56884;0,056787178;;;;;;;;;;;;;;;;;;;;;;
14;mettere;50145;0,050059648;;;;;;;;;;;;;;;;;;;;;;
15;utilizzare;47147;0,047066751;;;;;;;;;;;;;;;;;;;;;;
16;portare;45399;0,045321726;;;;;;;;;;;;;;;;;;;;;;
17;presentare;44320;0,044244563;;;;;;;;;;;;;;;;;;;;;;
18;tenere;39555;0,039487674;;;;;;;;;;;;;;;;;;;;;;
19;prendere;38939;0,038872722;;;;;;;;;;;;;;;;;;;;;;
20;parlare;37940;0,037875422;;;;;;;;;;;;;;;;;;;;;;
21;scrivere;37829;0,037764611;;;;;;;;;;;;;;;;;;;;;;
22;realizzare;37615;0,037550976;;;;;;;;;;;;;;;;;;;;;;
23;offrire;37314;0,037250488;;;;;;;;;;;;;;;;;;;;;;
24;pensare;36329;0,036267164;;;;;;;;;;;;;;;;;;;;;;
25;rendere;35579;0,035518441;;;;;;;;;;;;;;;;;;;;;;
26;leggere;35186;0,03512611;;;;;;;;;;;;;;;;;;;;;;
27;arrivare;35169;0,035109139;;;;;;;;;;;;;;;;;;;;;;
28;seguire;33085;0,033028686;;;;;;;;;;;;;;;;;;;;;;
29;cercare;32659;0,032603411;;;;;;;;;;;;;;;;;;;;;;
30;lasciare;32087;0,032032385;;;;;;;;;;;;;;;;;;;;;;
31;permettere;32034;0,031979475;;;;;;;;;;;;;;;;;;;;;;
32;trattare;31979;0,031924569;;;;;;;;;;;;;;;;;;;;;;
33;diventare;31786;0,031731897;;;;;;;;;;;;;;;;;;;;;;
34;conoscere;31396;0,031342561;;;;;;;;;;;;;;;;;;;;;;
35;creare;30933;0,030880349;;;;;;;;;;;;;;;;;;;;;;
36;vivere;30932;0,030879351;;;;;;;;;;;;;;;;;;;;;;
37;continuare;30727;0,0306747;;;;;;;;;;;;;;;;;;;;;;
38;svolgere;30652;0,030599827;;;;;;;;;;;;;;;;;;;;;;
39;venire;30637;0,030584853;;;;;;;;;;;;;;;;;;;;;;
40;dedicare;29846;0,029795199;;;;;;;;;;;;;;;;;;;;;;
41;passare;29528;0,02947774;;;;;;;;;;;;;;;;;;;;;;
42;riuscire;29458;0,02940786;;;;;;;;;;;;;;;;;;;;;;
43;chiedere;29372;0,029322006;;;;;;;;;;;;;;;;;;;;;;
44;usare;28339;0,028290764;;;;;;;;;;;;;;;;;;;;;;
45;sentire;28221;0,028172965;;;;;;;;;;;;;;;;;;;;;;
46;nascere;28133;0,028085115;;;;;;;;;;;;;;;;;;;;;;
47;aprire;27382;0,027335393;;;;;;;;;;;;;;;;;;;;;;
48;sembrare;27364;0,027317424;;;;;;;;;;;;;;;;;;;;;;
49;ricordare;26939;0,026893147;;;;;;;;;;;;;;;;;;;;;;
50;consentire;26882;0,026836244;;;;;;;;;;;;;;;;;;;;;;
51;ottenere;26564;0,026518785;;;;;;;;;;;;;;;;;;;;;;
52;pubblicare;26053;0,026008655;;;;;;;;;;;;;;;;;;;;;;
53;fornire;25597;0,025553431;;;;;;;;;;;;;;;;;;;;;;
