word list generated with Sketch Engine
www.sketchengine.co.uk
language:	Russian
corpus:	Russian Web 2011
	adjective	frequence
1	новый	150871
2	должный	103529
3	российский	85168
4	большой	84986
5	высокий	82643
6	хороший	80008
7	основной	60981
8	государственный	57949
9	различный	52127
10	современный	47742
11	общий	47501
12	последний	45490
13	настоящий	42591
14	важный	41908
15	необходимый	41292
16	главный	40951
17	следующий	40764
18	полный	40459
19	разный	37926
20	федеральный	36322
21	специальный	34143
22	русский	32398
23	дополнительный	32037
24	собственный	31931
25	простой	31761
26	технический	30963
27	крупный	30432
28	социальный	30169
29	нужный	29276
30	профессиональный	29137
31	внутренний	28868
32	международный	28340
33	известный	27768
34	рабочий	27460
35	готовый	27364
36	детский	26107
37	небольшой	25649
38	средний	25407
39	возможный	25328
40	интересный	24602
41	электронный	24118
42	маленький	23912
43	определённый	23834
44	подобный	23469
45	внешний	23375
46	медицинский	23351
47	огромный	22651
48	отдельный	22647
49	финансовый	22585
50	московский	22159
51	низкий	21833
52	особый	21718
53	широкий	21638
54	местный	21191
55	молодой	21086
56	общественный	20642
57	информационный	20339
58	сложный	20001
59	экономический	19632
60	городской	19001
61	обычный	18985
62	эффективный	18958
63	соответствующий	18925
64	старый	18760
65	мировой	18625
66	великий	18327
67	научный	18221
68	близкий	18211
69	быстрый	18167
70	удобный	18084
71	больший	17980
72	физический	17897
73	постоянный	17855
74	уникальный	17640
75	индивидуальный	17615
76	юридический	17419
77	полезный	17192
78	активный	17174
79	малый	17172
80	единый	17150
81	национальный	16948
82	торговый	16631
83	строительный	16613
84	сильный	16601
85	частый	16512
86	чёрный	16380
87	способный	16368
88	красивый	16334
89	реальный	16191
90	равный	16173
91	личной	16162
92	белый	16148
93	открытый	16059
94	качественный	16029
95	популярный	15915
96	официальный	15201
97	далёкий	15063
98	муниципальный	14937
99	правильный	14920
100	учебный	14838
101	доступный	14753
102	конкретный	14659
103	лёгкий	14412
104	свободный	14239
105	центральный	14188
106	красный	14115
107	региональный	13979
108	рекламный	13739
109	единственный	13717
110	чистый	13604
111	дробный	13584
112	транспортный	13579
113	серьёзный	13387
114	скорый	13372
115	прямой	13369
116	отличный	13364
117	налоговый	13324
118	дорогой	13133
119	прекрасный	13130
120	жилой	13069
121	европейский	13037
122	обязательный	13015
123	максимальный	12994
124	частный	12964
125	политический	12911
126	целый	12844
127	гражданский	12716
128	значительный	12691
129	ранний	12666
130	иностранный	12490
131	здоровый	12425
132	бесплатный	12370
133	образовательный	12245
134	советский	12208
135	военный	12208
136	домашний	12177
137	спортивный	12032
138	английский	11961
139	добрый	11803
140	сегодняшний	11787
141	прошлый	11766
142	судебный	11750
143	американский	11481
144	денежный	11453
145	нижний	11376
146	программный	11375
147	традиционный	11350
148	правовой	11307
149	отечественный	11301
150	промышленный	11289
151	живой	11268
152	яркий	11258
153	народный	11218
154	нормальный	11208
155	человеческий	11030
156	тяжёлый	11019
157	надёжный	10987
158	идеальный	10880
159	верхний	10849
160	поисковый	10844
161	долгий	10820
162	короткий	10803
163	страховой	10778
164	мобильный	10775
165	мягкий	10664
166	указанный	10658
167	древний	10649
168	ведущий	10645
169	стандартный	10644
170	лишний	10565
171	любимый	10378
172	автоматический	10352
173	производственный	10215
174	тёплый	10159
175	коммерческий	10155
176	исторический	10087
177	трудовой	10070
178	корпоративный	10064
179	деревянный	10041
180	поздний	10040
181	ценный	9992
182	таможенный	9986
183	дальнейший	9953
184	ключевой	9948
185	текущий	9909
186	минимальный	9867
187	технологический	9854
188	успешный	9835
189	очередной	9763
190	оригинальный	9720
191	генеральный	9714
192	массовый	9676
193	металлический	9656
194	точный	9577
195	приятный	9542
196	западный	9481
197	практический	9463
198	естественный	9391
199	горячий	9389
200	глубокий	9384
