word list generated with Sketch Engine
language:	Russian
corpus:	Russian Web 2011
	noun	frequence
1	год	92597
2	работа	61082
3	время	60303
4	человек	59241
5	компания	50057
6	система	47724
7	сайт	44005
8	день	38698
9	место	32795
10	Россия	30839
11	вид	29093
12	вопрос	28899
13	случай	28636
14	ребёнок	27305
15	жизнь	26654
16	возможность	26317
17	качество	25484
18	программа	25212
19	дело	24625
20	услуга	24343
21	дом	24084
22	город	24075
23	информация	23813
24	материал	23426
25	часть	23161
26	область	22873
27	организация	22037
28	решение	22003
29	средство	21549
30	раз	21292
31	помощь	21121
32	результат	21021
33	проект	20767
34	страна	20489
35	мир	19841
36	Москва	19689
37	условие	19566
38	лицо	19457
39	проблема	18898
40	развитие	18778
41	статья	18730
42	цена	18636
43	уровень	18604
44	управление	18118
45	рынок	17876
46	количество	17765
47	слово	17662
48	вода	17176
49	клиент	17163
50	процесс	17023
51	использование	16819
52	тема	16781
53	форма	16551
54	документ	16540
55	центр	16470
56	сторона	16314
57	право	16254
58	образ	16200
59	деятельность	15745
60	группа	15547
61	цель	15528
62	производство	15067
63	число	14991
64	срок	14966
65	товар	14541
66	орган	14534
67	специалист	14513
68	сеть	14403
69	данные	14287
70	федерация	14209
71	стоимость	14110
72	технология	13990
73	оборудование	13776
74	отношение	13735
75	внимание	13624
76	Интернет	13545
77	размер	13484
78	связь	13432
79	сила	13340
80	действие	13116
81	создание	13115
82	месяц	12909
83	игра	12900
84	автомобиль	12870
85	правило	12634
86	момент	12615
87	закон	12531
88	час	12509
89	выбор	12423
90	образование	12313
91	способ	12274
92	счёт	12042
93	требование	12024
94	предприятие	11953
95	объект	11912
96	пользователь	11815
97	тип	11782
98	бизнес	11725
99	продажа	11721
100	книга	11663
101	задача	11486
102	модель	11332
103	рубль	11233
104	рука	11224
105	изменение	11211
106	РФ	11150
107	договор	11085
108	порядок	11038
109	продукт	10959
110	помещение	10923
111	начало	10906
112	строительство	10880
113	проведение	10802
114	продукция	10743
115	страница	10732
116	состояние	10716
117	основа	10664
118	ситуация	10659
119	участник	10598
120	язык	10578
121	ссылка	10521
122	история	10488
123	суд	10402
124	опыт	10402
125	установка	10351
126	участие	10345
127	машина	10307
128	конец	10304
129	метод	10269
130	территория	10254
131	общество	10241
132	соответствие	10150
133	квартира	10072
134	вариант	10070
135	объём	10012
136	причина	9887
137	течение	9819
138	район	9759
139	защита	9751
140	заказ	9682
141	сотрудник	9603
142	магазин	9555
143	применение	9517
144	служба	9485
145	школа	9425
146	период	9358
147	женщина	9331
148	деньги	9295
149	имя	9287
150	банк	9278
151	пример	9247
152	безопасность	9246
153	ответ	9214
154	совет	9177
155	направление	9132
156	учёт	9005
157	телефон	8953
158	вес	8941
159	реклама	8929
160	власть	8929
161	разработка	8927
162	ремонт	8806
163	номер	8741
164	устройство	8696
165	функция	8691
166	обеспечение	8627
167	состав	8617
168	база	8605
169	курс	8572
170	окно	8544
171	режим	8500
172	элемент	8428
173	фирма	8428
174	лечение	8350
175	комплекс	8288
176	наличие	8268
177	семья	8253
178	цвет	8210
179	здание	8182
180	движение	8106
181	исследование	8091
182	участок	8090
183	земля	8063
184	план	8054
185	большинство	8042
186	дверь	8006
187	путь	8004
188	питание	7975
189	кожа	7975
190	неделя	7936
191	карта	7911
192	минута	7849
193	поверхность	7846
194	конструкция	7835
195	сумма	7760
196	текст	7731
197	дизайн	7685
198	автор	7680
199	название	7667
200	ряд	7662
