word list generated with Sketch Engine
language:	Russian
corpus:	Russian Web 2011
	verb	frequence
1	быть	685458
2	мочь	258227
3	иметь	107253
4	являться	103859
5	стать	75963
6	получать	64876
7	использовать	64626
8	сделать	64570
9	работать	63179
10	говорить	61093
11	представлять	54196
12	делать	53559
13	сказать	53309
14	позволять	53287
15	знать	53017
16	хотеть	52338
17	создавать	46704
18	принимать	43743
19	давать	43181
20	предлагать	42384
21	проводить	41521
22	находить	40462
23	становиться	39792
24	стоить	37725
25	смочь	36297
26	устанавливать	36218
27	идти	35320
28	начинать	34270
29	следовать	33171
30	находиться	32276
31	составлять	31334
32	обеспечивать	30923
33	выбирать	30678
34	считать	30537
35	выполнять	30514
36	проходить	28909
37	понимать	28441
38	получить	28322
39	видеть	27939
40	жить	27243
41	называть	27041
42	существовать	26385
43	думать	26325
44	оставаться	26241
45	происходить	26018
46	занимать	25311
47	располагать	24568
48	включать	24230
49	помогать	23520
50	писать	22637
51	купить	22501
52	приводить	22475
53	осуществлять	22340
54	читать	22197
55	помочь	22095
56	использоваться	22077
57	требовать	21799
58	входить	21711
59	определять	21632
60	пройти	21620
61	взять	21287
62	предоставлять	21094
63	появиться	20661
64	содержать	19792
65	увидеть	19691
66	обладать	19378
67	показывать	19146
68	смотреть	18890
69	возникать	18793
70	производить	18787
71	написать	18784
72	оказаться	18764
73	начать	18713
74	вызывать	18652
75	предусматривать	18618
76	отвечать	18445
77	отмечать	18406
78	иметься	18101
79	решать	18091
80	зависеть	18088
81	решить	18011
82	состоять	17659
83	прийти	17596
84	вести	17316
85	любить	17237
86	применять	17153
87	приобретать	17101
88	играть	16954
89	найти	16853
90	прийтись	16741
91	позволить	16571
92	заниматься	16486
93	ждать	16412
94	остаться	16224
95	хотеться	16149
96	дать	16094
97	выходить	15881
98	бывать	15579
99	продолжать	15574
100	разрабатывать	15514
101	предназначать	15483
102	относиться	15128
103	добавлять	14979
104	искать	14810
105	пойти	14726
106	состояться	14692
107	приходить	14659
108	посмотреть	14565
109	учитывать	14482
110	осуществляться	14103
111	открывать	14058
112	принять	13960
113	рассматривать	13953
114	обращаться	13856
115	оказывать	13474
116	появляться	13341
117	казаться	13336
118	касаться	13270
119	оставлять	13220
120	поставлять	13190
121	подходить	13077
122	рассказывать	13073
123	проводиться	13049
124	отличаться	12958
125	построить	12915
126	утверждать	12882
127	действовать	12830
128	обращать	12637
129	соответствовать	12597
130	указывать	12544
131	поддерживать	12457
132	помнить	12442
133	требоваться	12244
134	собирать	12181
135	пытаться	12162
136	сохранять	12144
137	брать	12112
138	приходиться	12089
139	увеличивать	11811
140	снимать	11739
141	считаться	11686
142	оказываться	11663
143	рассказать	11621
144	продавать	11533
145	узнавать	11499
146	способствовать	11462
147	участвовать	11402
148	стоять	11208
149	посвящать	11140
150	выйти	11099
151	расти	11065
152	пользоваться	11055
153	защищать	10974
154	сообщать	10930
155	выделять	10923
156	выглядеть	10880
157	составить	10849
158	достигать	10766
159	передавать	10659
160	размещать	10654
161	рекомендовать	10646
162	удаться	10539
163	изменять	10508
164	применяться	10483
165	произойти	10479
166	служить	10415
167	начаться	10228
168	сидеть	10196
169	собираться	10100
170	вводить	10074
171	выступать	10014
172	производиться	9891
173	привлекать	9876
174	попадать	9828
175	определяться	9735
176	направлять	9729
177	желать	9722
178	понять	9683
179	получаться	9667
180	покупать	9661
181	повышать	9629
182	чувствовать	9489
183	начинаться	9453
184	показать	9379
185	просить	9354
186	рассчитывать	9341
187	сообщить	9340
188	вернуться	9328
189	означать	9308
190	стараться	9242
191	реализовать	9209
192	ставить	9195
193	развивать	9154
194	заказывать	9124
195	лежать	9076
196	поступать	8931
197	отметить	8919
198	провести	8890
199	выпускать	8872
200	привести	8871

